Gender,Status,Income,P,SC,SI,NE,H,IBB
0,0,6,1.0,4.0,1.0,3.8,2.75,1.5
1,0,1,1.0,2.3333333333333335,1.0,4.4,4.0,4.0
1,0,3,1.0,4.0,1.3333333333333333,2.0,4.0,2.0
1,0,2,1.0,2.6666666666666665,1.0,3.6,3.5,3.5
0,0,1,1.0,2.6666666666666665,1.6666666666666667,3.6,3.0,1.0
1,0,1,1.0,2.3333333333333335,1.0,2.8,3.5,1.75
1,0,2,4.0,2.0,3.1666666666666665,2.8,4.0,3.0
1,0,1,2.0,4.0,2.0,3.6,2.0,1.0
1,1,1,1.0,3.0,3.0,3.0,3.0,2.0
0,0,1,3.0,2.3333333333333335,3.0,2.2,4.25,3.5
1,0,2,2.5,2.3333333333333335,2.6666666666666665,3.2,5.0,2.75
1,0,1,1.0,3.3333333333333335,1.0,4.8,3.25,1.75
1,0,1,2.0,2.3333333333333335,3.0,3.0,4.0,3.5
1,0,1,1.0,3.0,1.1666666666666667,4.8,4.0,1.5
0,0,3,1.75,3.3333333333333335,2.6666666666666665,4.2,4.0,2.5
0,0,6,1.0,5.0,1.0,5.0,1.0,1.0
0,0,1,4.0,2.0,4.0,4.0,4.0,3.5
0,0,5,2.25,3.0,3.0,2.2,3.0,3.75
1,1,1,1.5,3.3333333333333335,2.1666666666666665,4.0,4.0,4.5
0,0,4,3.5,3.0,1.8333333333333333,3.4,1.75,3.0
0,0,2,1.0,5.0,1.0,5.0,2.25,2.0
0,0,5,1.0,1.0,2.6666666666666665,5.0,2.25,1.5
1,0,1,2.25,2.6666666666666665,2.1666666666666665,4.4,4.0,2.0
1,1,6,4.0,2.0,4.0,4.4,4.0,3.75
0,1,6,4.0,2.0,4.0,4.4,4.0,3.75
1,1,3,4.25,2.3333333333333335,3.6666666666666665,3.4,3.75,4.0
1,0,2,1.75,2.3333333333333335,1.0,4.2,1.5,2.75
0,1,5,3.75,2.3333333333333335,4.5,2.8,4.0,3.5
1,1,4,3.75,2.0,3.8333333333333335,3.6,3.5,3.5
1,0,4,1.5,3.6666666666666665,2.0,3.6,4.0,2.5
1,0,2,1.0,3.0,2.0,2.6,4.0,3.25
1,0,2,2.0,3.0,2.0,3.4,4.0,3.0
1,0,1,2.0,3.0,3.0,3.0,4.0,3.0
1,1,1,4.0,3.6666666666666665,3.5,3.6,4.25,3.75
0,0,2,1.0,3.6666666666666665,1.3333333333333333,3.8,3.5,1.25
0,0,2,2.0,3.3333333333333335,2.0,4.0,3.0,1.25
0,1,6,2.0,1.3333333333333333,3.5,3.4,2.25,4.25
0,0,6,2.0,5.0,1.3333333333333333,5.0,4.0,2.0
0,0,3,1.0,4.333333333333333,1.0,5.0,1.0,1.75
0,1,6,2.5,4.0,2.6666666666666665,1.0,4.0,2.5
0,0,3,4.0,5.0,4.0,5.0,4.0,3.25
1,0,4,2.0,2.3333333333333335,2.3333333333333335,3.6,3.25,1.0
1,0,1,4.0,2.3333333333333335,3.6666666666666665,2.8,3.75,3.75
1,0,1,3.5,2.0,2.6666666666666665,4.0,3.5,3.5
1,1,1,3.0,2.0,3.0,2.4,4.0,2.25
1,0,5,2.0,3.0,2.0,2.2,4.0,3.0
1,1,4,4.0,2.0,4.0,4.0,4.0,4.5
1,0,2,2.25,2.0,1.1666666666666667,3.2,2.75,2.0
0,0,6,1.0,3.3333333333333335,1.0,4.6,3.75,1.0
0,0,3,1.0,1.0,1.0,1.0,1.0,2.5
1,0,5,2.0,3.3333333333333335,2.0,3.6,2.75,2.0
1,0,1,1.0,2.3333333333333335,1.0,1.4,5.0,2.5
1,0,6,3.0,2.0,2.0,4.2,4.0,5.0
1,0,3,2.75,3.0,3.0,2.0,3.0,4.0
1,0,2,1.0,2.0,2.8333333333333335,3.2,4.0,3.75
1,1,6,4.0,2.0,4.0,4.4,4.0,3.75
1,0,1,3.75,3.3333333333333335,3.1666666666666665,2.8,3.75,2.25
1,0,1,1.0,2.6666666666666665,1.0,3.2,4.0,3.75
1,1,2,3.5,2.6666666666666665,3.1666666666666665,5.0,4.0,1.5
0,0,5,2.25,2.0,2.0,1.6,3.0,2.0
1,0,3,1.0,3.6666666666666665,1.3333333333333333,3.8,3.75,2.0
1,0,4,1.0,3.0,2.0,3.4,4.0,2.25
