Gender;E-Paylater User Status;Educational Background;Year of Birth;Job Status;Monthly Income;Average monthly expenditure for online shopping in relation to monthly income;IBB1;IBB2;IBB3;IBB4;P1;P2;P3;P4;SI1;SI2;SI3;SI4;SI5;SI6;H1;H2;H3;H4;SC1;SC2;SC3 ;SC4 ;SC5;NE1;NE2;NE3;NE4;NE5
2;2;3;1985;2;2;4;3;3;3;3;4;4;4;4;3;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3
1;1;1;1998;1;1;2;3;3;4;3;3;3;3;3;5;3;3;4;4;4;3;2;3;2;1;2;1;1;1;5;5;5;3;4
2;2;1;1978;1;2;2;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;2;2;3;3;3;3;3;3
2;1;3;1980;3;5;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;2;2
1;1;3;2004;2;6;1;3;2;3;2;4;4;4;4;1;1;1;1;1;1;4;4;4;3;5;4;2;2;2;4;4;4;4;4
1;1;3;1998;2;6;1;4;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;3;4;4;3;3;2;2;3;3;3;4;4
1;2;3;1988;3;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;1;5;5;5;5;5
2;1;4;2003;2;5;1;4;4;4;1;1;1;1;1;1;1;1;1;1;3;2;2;2;2;4;4;3;3;3;3;3;3;4;3
1;1;3;1998;4;3;1;2;2;4;2;1;1;1;1;1;1;1;1;1;1;4;2;3;3;4;4;4;4;3;5;5;5;5;5
2;2;4;1997;2;2;1;2;2;2;2;2;4;1;4;4;3;3;2;1;2;2;2;2;2;4;4;4;4;3;5;1;3;1;1
2;1;3;1987;1;1;1;2;4;4;2;2;2;2;2;2;2;2;2;2;2;4;3;4;4;4;4;3;3;4;5;4;4;4;4
2;2;3;1979;1;1;1;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;3;2;2;2;2;3
2;1;1;2002;1;1;1;4;4;4;5;1;2;2;2;3;3;3;1;2;3;5;5;5;5;1;3;1;3;3;1;3;3;2;2
2;1;3;2000;2;4;1;3;2;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;3;3;2;2;2;3;2;5;2;2
2;2;2;2000;1;1;2;4;4;4;4;4;4;4;4;1;1;1;1;1;1;4;4;4;4;4;4;2;2;2;4;4;3;3;3
2;1;4;1998;2;3;1;3;3;2;1;1;1;1;1;2;2;2;2;2;2;4;4;4;4;4;4;3;3;3;4;5;5;3;4
1;2;4;1999;2;5;2;2;2;2;1;4;4;4;5;4;4;5;2;2;5;4;4;5;5;4;4;4;4;5;4;4;4;2;4
2;2;1;1989;1;2;1;4;4;4;3;3;4;3;3;4;4;4;3;3;3;4;4;3;3;4;4;2;3;3;3;3;4;3;2
2;2;1;1984;1;1;1;2;2;1;1;1;4;1;1;2;2;2;2;2;2;3;3;4;3;4;4;4;3;4;5;4;1;5;3
2;1;1;1995;1;1;1;4;3;4;3;3;3;3;3;2;2;2;4;3;3;4;4;4;4;4;4;3;3;3;3;3;4;3;2
2;1;3;1976;2;6;1;4;4;4;2;1;1;1;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2;2;4;1997;4;5;3;4;5;2;5;5;3;4;5;5;4;5;3;4;5;4;5;3;4;4;5;4;2;1;2;2;3;1;2
2;1;3;1979;1;1;2;3;3;3;3;3;3;3;3;2;3;2;2;2;2;4;4;4;4;4;4;2;2;2;3;3;4;3;3
2;1;3;1999;2;2;1;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;1;4;4;5;5;1;5;3
2;1;1;2002;1;1;2;4;3;3;2;1;3;1;4;2;1;1;1;1;1;5;5;5;4;4;4;2;2;3;5;4;5;4;1
